homonym,judged_meaning,precontext,sentence,ending,choices,average,stdev,nonsensical,sample_id,example_sentence
kicking,strike with the foot,"Jane and Lily arrived at the park early in the morning. They saw the swings were free, so they rushed over. The two of them took turns pushing each other on the swings.",Jane was left kicking at the park.,Her legs pumped back and forth as she tried to swing higher into the crisp morning air.,"[5, 5, 3, 5, 4]",4.4,0.8944271909999159,"[False, False, False, False, False]",1462,She decided to kick the ball.
kicking,"express complaints, discontent, displeasure, or unhappiness","Jane and Lily arrived at the park early in the morning. They saw the swings were free, so they rushed over. The two of them took turns pushing each other on the swings.",Jane was left kicking at the park.,,"[5, 1, 2, 1, 1]",2.0,1.7320508075688772,"[False, True, False, True, False]",1463,He likes to kick about the rules.
kicking,strike with the foot,"Jane and Lily arrived at the park early in the morning. They saw the swings were free, so they rushed over. The two of them took turns pushing each other on the swings.",Jane was left kicking at the park.,,"[1, 2, 2, 1, 1]",1.4,0.5477225575051661,"[False, False, False, False, True]",1464,She decided to kick the ball.
kick,the act of delivering a blow with the foot,"The small theater was packed with an eager audience. Everyone was buzzing with anticipation as the performers took their positions on stage. The music started softly, building in intensity as the crowd leaned forward in their seats.",The performance ended with a kick that left the crowd buzzing.,The drummer really caught the eye and the ears with that ending.,"[2, 2, 1, 1, 2]",1.6,0.5477225575051661,"[True, False, False, False, False]",3620,He scored a goal with a strong kick.
kick,the swift release of a store of affective force,"The small theater was packed with an eager audience. Everyone was buzzing with anticipation as the performers took their positions on stage. The music started softly, building in intensity as the crowd leaned forward in their seats.",The performance ended with a kick that left the crowd buzzing.,The drummer really caught the eye and the ears with that ending.,"[5, 5, 2, 5, 4]",4.2,1.3038404810405297,"[False, False, False, False, False]",3621,The movie had a great kick!
kick,the act of delivering a blow with the foot,"The small theater was packed with an eager audience. Everyone was buzzing with anticipation as the performers took their positions on stage. The music started softly, building in intensity as the crowd leaned forward in their seats.",The performance ended with a kick that left the crowd buzzing.,What a tremendous finish to a fantastic performance!,"[1, 3, 1, 2, 1]",1.6,0.8944271909999159,"[False, False, False, False, False]",3622,He scored a goal with a strong kick.
kick,the swift release of a store of affective force,"The small theater was packed with an eager audience. Everyone was buzzing with anticipation as the performers took their positions on stage. The music started softly, building in intensity as the crowd leaned forward in their seats.",The performance ended with a kick that left the crowd buzzing.,What a tremendous finish to a fantastic performance!,"[3, 5, 3, 5, 3]",3.8,1.0954451150103321,"[False, False, False, False, False]",3623,The movie had a great kick!
kick,the act of delivering a blow with the foot,"The small theater was packed with an eager audience. Everyone was buzzing with anticipation as the performers took their positions on stage. The music started softly, building in intensity as the crowd leaned forward in their seats.",The performance ended with a kick that left the crowd buzzing.,,"[1, 2, 1, 1, 1]",1.2,0.4472135954999579,"[False, False, False, False, False]",3624,He scored a goal with a strong kick.
kick,the swift release of a store of affective force,"The small theater was packed with an eager audience. Everyone was buzzing with anticipation as the performers took their positions on stage. The music started softly, building in intensity as the crowd leaned forward in their seats.",The performance ended with a kick that left the crowd buzzing.,,"[5, 1, 4, 5, 4]",3.8,1.6431676725154984,"[False, False, False, False, False]",3625,The movie had a great kick!
window,a framework of wood or metal that contains a glass windowpane and is built into a wall or roof to admit light or air,"The clouds gathered quickly as they climbed the mountain. The climbers knew they had to act fast, but the path was treacherous. With the storm approaching, every second mattered.",That was a narrow window they just managed to get through.,"This was on the house, which was found at the top of the mountain.","[4, 4, 2, 4, 1]",3.0,1.4142135623730951,"[False, False, False, False, False]",733,She opened the window to let in fresh air.
window,the time period that is considered best for starting or finishing something,"The clouds gathered quickly as they climbed the mountain. The climbers knew they had to act fast, but the path was treacherous. With the storm approaching, every second mattered.",That was a narrow window they just managed to get through.,"This was on the house, which was found at the top of the mountain.","[2, 5, 1, 3, 1]",2.4,1.6733200530681511,"[False, True, False, False, True]",734,We have a narrow window to act.
window,a framework of wood or metal that contains a glass windowpane and is built into a wall or roof to admit light or air,"The clouds gathered quickly as they climbed the mountain. The climbers knew they had to act fast, but the path was treacherous. With the storm approaching, every second mattered.",That was a narrow window they just managed to get through.,Now it's time to make use of it by running as fast as they can.,"[1, 1, 1, 1, 1]",1.0,0.0,"[False, False, False, False, False]",735,She opened the window to let in fresh air.
window,the time period that is considered best for starting or finishing something,"The clouds gathered quickly as they climbed the mountain. The climbers knew they had to act fast, but the path was treacherous. With the storm approaching, every second mattered.",That was a narrow window they just managed to get through.,Now it's time to make use of it by running as fast as they can.,"[5, 5, 4, 5, 5]",4.8,0.4472135954999579,"[False, False, False, False, False]",736,We have a narrow window to act.
window,a framework of wood or metal that contains a glass windowpane and is built into a wall or roof to admit light or air,"The clouds gathered quickly as they climbed the mountain. The climbers knew they had to act fast, but the path was treacherous. With the storm approaching, every second mattered.",That was a narrow window they just managed to get through.,,"[1, 2, 1, 1, 1]",1.2,0.4472135954999579,"[False, False, False, False, False]",737,She opened the window to let in fresh air.
window,the time period that is considered best for starting or finishing something,"The clouds gathered quickly as they climbed the mountain. The climbers knew they had to act fast, but the path was treacherous. With the storm approaching, every second mattered.",That was a narrow window they just managed to get through.,,"[4, 5, 4, 5, 5]",4.6,0.5477225575051661,"[False, False, False, False, False]",738,We have a narrow window to act.
channels,a television station and its programs,"John works from home and spends his days sharing his thoughts. He knows the power of a well-placed message. Each day, he plans out how best to reach his audience.",He carefully selects the channels where he expresses his ideas.,John has his preferred media and content providers who align closely with his objectives.,"[2, 4, 2, 3, 2]",2.6,0.8944271909999159,"[False, False, False, False, False]",649,I love watching documentaries on that channel.
channels,official routes of communication,"John works from home and spends his days sharing his thoughts. He knows the power of a well-placed message. Each day, he plans out how best to reach his audience.",He carefully selects the channels where he expresses his ideas.,John has his preferred media and content providers who align closely with his objectives.,"[4, 5, 5, 5, 4]",4.6,0.5477225575051661,"[False, False, False, False, False]",650,We communicated through the proper channels.
channels,a television station and its programs,"John works from home and spends his days sharing his thoughts. He knows the power of a well-placed message. Each day, he plans out how best to reach his audience.",He carefully selects the channels where he expresses his ideas.,He double-checked the schedule to make sure each post went out on the right platform at the right time.,"[3, 2, 3, 2, 2]",2.4,0.5477225575051661,"[False, False, False, False, False]",651,I love watching documentaries on that channel.
channels,official routes of communication,"John works from home and spends his days sharing his thoughts. He knows the power of a well-placed message. Each day, he plans out how best to reach his audience.",He carefully selects the channels where he expresses his ideas.,He double-checked the schedule to make sure each post went out on the right platform at the right time.,"[3, 5, 5, 5, 4]",4.4,0.8944271909999159,"[False, False, False, False, False]",652,We communicated through the proper channels.
channels,a television station and its programs,"John works from home and spends his days sharing his thoughts. He knows the power of a well-placed message. Each day, he plans out how best to reach his audience.",He carefully selects the channels where he expresses his ideas.,,"[2, 4, 2, 3, 3]",2.8,0.8366600265340756,"[False, False, False, False, False]",653,I love watching documentaries on that channel.
channels,official routes of communication,"John works from home and spends his days sharing his thoughts. He knows the power of a well-placed message. Each day, he plans out how best to reach his audience.",He carefully selects the channels where he expresses his ideas.,,"[3, 5, 4, 4, 4]",4.0,0.7071067811865476,"[False, False, False, False, False]",654,We communicated through the proper channels.
channels,a television station and its programs,"Jake sat in his living room, flipping through the guide. He knew he had to get in touch with the right people soon. The options were endless, but time was running out.",It was difficult to find the right channels.,"There were so many to choose from, and it was tricky to flick through them super quickly to find the right one.","[5, 5, 4, 5, 5]",4.8,0.4472135954999579,"[False, False, False, False, False]",3746,I love watching documentaries on that channel.
channels,official routes of communication,"Jake sat in his living room, flipping through the guide. He knew he had to get in touch with the right people soon. The options were endless, but time was running out.",It was difficult to find the right channels.,"There were so many to choose from, and it was tricky to flick through them super quickly to find the right one.","[5, 4, 1, 3, 5]",3.6,1.6733200530681511,"[False, False, False, False, False]",3747,We communicated through the proper channels.
channels,a television station and its programs,"Jake sat in his living room, flipping through the guide. He knew he had to get in touch with the right people soon. The options were endless, but time was running out.",It was difficult to find the right channels.,"He knew they did not have a phone to call, so he would have to send a letter.","[1, 1, 1, 2, 4]",1.8,1.3038404810405297,"[False, False, False, False, False]",3748,I love watching documentaries on that channel.
channels,official routes of communication,"Jake sat in his living room, flipping through the guide. He knew he had to get in touch with the right people soon. The options were endless, but time was running out.",It was difficult to find the right channels.,"He knew they did not have a phone to call, so he would have to send a letter.","[5, 4, 3, 5, 5, 5]",4.5,0.8366600265340756,"[False, False, False, False, False, False]",3749,We communicated through the proper channels.
channels,a television station and its programs,"Jake sat in his living room, flipping through the guide. He knew he had to get in touch with the right people soon. The options were endless, but time was running out.",It was difficult to find the right channels.,,"[1, 3, 2, 1, 4]",2.2,1.3038404810405297,"[False, False, False, False, False]",3750,I love watching documentaries on that channel.
channels,official routes of communication,"Jake sat in his living room, flipping through the guide. He knew he had to get in touch with the right people soon. The options were endless, but time was running out.",It was difficult to find the right channels.,,"[5, 5, 5, 2, 2]",3.8,1.6431676725154984,"[False, False, False, False, False]",3751,We communicated through the proper channels.
channels,a television station and its programs,The new regulations had just been put into effect. People were eager to see the results. Many had waited for such changes for a long time.,The channels were available to all.,"With the remote in their hands, everyone tuned into their favorite programs, and they were excited to see what other offerings they had.","[5, 5, 1, 5, 5]",4.2,1.7888543819998317,"[False, False, False, False, False]",3758,I love watching documentaries on that channel.
channels,official routes of communication,The new regulations had just been put into effect. People were eager to see the results. Many had waited for such changes for a long time.,The channels were available to all.,"With the remote in their hands, everyone tuned into their favorite programs, and they were excited to see what other offerings they had.","[4, 1, 1, 1, 1]",1.6,1.3416407864998738,"[False, False, False, False, False]",3759,We communicated through the proper channels.
channels,a television station and its programs,The new regulations had just been put into effect. People were eager to see the results. Many had waited for such changes for a long time.,The channels were available to all.,The phone lines would not stop ringing when people found out about the help they could receive.,"[1, 5, 1, 3, 1]",2.2,1.7888543819998317,"[False, False, False, False, False]",3760,I love watching documentaries on that channel.
channels,official routes of communication,The new regulations had just been put into effect. People were eager to see the results. Many had waited for such changes for a long time.,The channels were available to all.,The phone lines would not stop ringing when people found out about the help they could receive.,"[5, 5, 5, 2, 5]",4.4,1.3416407864998738,"[False, False, False, False, False]",3761,We communicated through the proper channels.
channels,a television station and its programs,The new regulations had just been put into effect. People were eager to see the results. Many had waited for such changes for a long time.,The channels were available to all.,,"[2, 3, 2, 3, 5]",3.0,1.224744871391589,"[False, False, False, False, False]",3762,I love watching documentaries on that channel.
channels,official routes of communication,The new regulations had just been put into effect. People were eager to see the results. Many had waited for such changes for a long time.,The channels were available to all.,,"[3, 3, 3, 4, 4]",3.4,0.5477225575051661,"[False, False, False, False, False]",3763,We communicated through the proper channels.
sprinkles,a light shower that falls in some locations and not others nearby,Liam and Mia decided to visit the local park after lunch. The day was warm and perfect for an afternoon treat. They each ordered a big scoop of their favorite ice cream.,"As they sat outside eating their ice cream, sprinkles started to fall all around them.",Liam offered Mia his raincoat to protect her from getting wet.,"[5, 4, 5, 4, 5]",4.6,0.5477225575051661,"[False, False, False, False, False]",439,A light sprinkle refreshed the garden.
sprinkles,bits of sweet chocolate used as a topping on e.g. ice cream,Liam and Mia decided to visit the local park after lunch. The day was warm and perfect for an afternoon treat. They each ordered a big scoop of their favorite ice cream.,"As they sat outside eating their ice cream, sprinkles started to fall all around them.",Liam offered Mia his raincoat to protect her from getting wet.,"[2, 1, 2, 1, 1]",1.4,0.5477225575051661,"[False, False, False, False, False]",440,The ice cream is topped with sprinkles.
sprinkles,a light shower that falls in some locations and not others nearby,Liam and Mia decided to visit the local park after lunch. The day was warm and perfect for an afternoon treat. They each ordered a big scoop of their favorite ice cream.,"As they sat outside eating their ice cream, sprinkles started to fall all around them.",Liam picked them up on his finger and licked it.,"[1, 1, 1, 1, 2]",1.2,0.4472135954999579,"[False, False, False, False, False]",441,A light sprinkle refreshed the garden.
sprinkles,bits of sweet chocolate used as a topping on e.g. ice cream,Liam and Mia decided to visit the local park after lunch. The day was warm and perfect for an afternoon treat. They each ordered a big scoop of their favorite ice cream.,"As they sat outside eating their ice cream, sprinkles started to fall all around them.",Liam picked them up on his finger and licked it.,"[1, 5, 5, 5, 5]",4.2,1.7888543819998317,"[False, False, False, False, False]",442,The ice cream is topped with sprinkles.
sprinkles,a light shower that falls in some locations and not others nearby,Liam and Mia decided to visit the local park after lunch. The day was warm and perfect for an afternoon treat. They each ordered a big scoop of their favorite ice cream.,"As they sat outside eating their ice cream, sprinkles started to fall all around them.",,"[4, 1, 3, 2, 5]",3.0,1.5811388300841898,"[False, False, False, False, False]",443,A light sprinkle refreshed the garden.
sprinkles,bits of sweet chocolate used as a topping on e.g. ice cream,Liam and Mia decided to visit the local park after lunch. The day was warm and perfect for an afternoon treat. They each ordered a big scoop of their favorite ice cream.,"As they sat outside eating their ice cream, sprinkles started to fall all around them.",,"[4, 1, 4, 5, 5]",3.8,1.6431676725154984,"[False, True, False, True, False]",444,The ice cream is topped with sprinkles.
sprinkles,a light shower that falls in some locations and not others nearby,"The children played inside all morning. A storm was expected in the afternoon, bringing rain to some areas. They had ice cream for dessert at lunch.","After lunch, the kids ran outside, laughing as sprinkles covered everything.","A few hours later, they came back inside, wet.","[3, 4, 3, 4, 4]",3.6,0.5477225575051661,"[False, False, False, False, False]",1585,A light sprinkle refreshed the garden.
sprinkles,bits of sweet chocolate used as a topping on e.g. ice cream,"The children played inside all morning. A storm was expected in the afternoon, bringing rain to some areas. They had ice cream for dessert at lunch.","After lunch, the kids ran outside, laughing as sprinkles covered everything.","A few hours later, they came back inside, wet.","[2, 2, 5, 1, 1]",2.2,1.6431676725154984,"[False, False, False, False, False]",1586,The ice cream is topped with sprinkles.
sprinkles,a light shower that falls in some locations and not others nearby,"The children played inside all morning. A storm was expected in the afternoon, bringing rain to some areas. They had ice cream for dessert at lunch.","After lunch, the kids ran outside, laughing as sprinkles covered everything.","Having a food fight was a waste of ice cream, and the floor was covered in toppings.","[2, 5, 1, 1, 2]",2.2,1.6431676725154984,"[False, False, False, False, False]",1587,A light sprinkle refreshed the garden.
sprinkles,bits of sweet chocolate used as a topping on e.g. ice cream,"The children played inside all morning. A storm was expected in the afternoon, bringing rain to some areas. They had ice cream for dessert at lunch.","After lunch, the kids ran outside, laughing as sprinkles covered everything.","Having a food fight was a waste of ice cream, and the floor was covered in toppings.","[5, 4, 5, 5, 5]",4.8,0.4472135954999579,"[False, False, False, False, False]",1588,The ice cream is topped with sprinkles.
sprinkles,a light shower that falls in some locations and not others nearby,"The children played inside all morning. A storm was expected in the afternoon, bringing rain to some areas. They had ice cream for dessert at lunch.","After lunch, the kids ran outside, laughing as sprinkles covered everything.",,"[4, 2, 5, 5, 5]",4.2,1.3038404810405297,"[False, False, False, False, False]",1589,A light sprinkle refreshed the garden.
sprinkles,bits of sweet chocolate used as a topping on e.g. ice cream,"The children played inside all morning. A storm was expected in the afternoon, bringing rain to some areas. They had ice cream for dessert at lunch.","After lunch, the kids ran outside, laughing as sprinkles covered everything.",,"[3, 4, 5, 2, 1]",3.0,1.5811388300841898,"[False, False, False, False, False]",1590,The ice cream is topped with sprinkles.
sprinkles,a light shower that falls in some locations and not others nearby,"Emma and Jake decided to enjoy a sunny afternoon at the park. They stopped by the new ice cream truck to get their favorite treats. As they looked for a shady spot to sit, they noticed it was getting a bit cloudy.","When they ate the ice cream outside, there were some sprinkles.","Only a little bit of rain fell, but enough to make them talk about moving indoors.","[5, 4, 3, 4, 4]",4.0,0.7071067811865476,"[False, False, False, False, False]",3680,A light sprinkle refreshed the garden.
sprinkles,bits of sweet chocolate used as a topping on e.g. ice cream,"Emma and Jake decided to enjoy a sunny afternoon at the park. They stopped by the new ice cream truck to get their favorite treats. As they looked for a shady spot to sit, they noticed it was getting a bit cloudy.","When they ate the ice cream outside, there were some sprinkles.","Only a little bit of rain fell, but enough to make them talk about moving indoors.","[5, 2, 5, 2, 1]",3.0,1.8708286933869707,"[False, False, False, False, False]",3681,The ice cream is topped with sprinkles.
sprinkles,a light shower that falls in some locations and not others nearby,"Emma and Jake decided to enjoy a sunny afternoon at the park. They stopped by the new ice cream truck to get their favorite treats. As they looked for a shady spot to sit, they noticed it was getting a bit cloudy.","When they ate the ice cream outside, there were some sprinkles.","They ended up all around Emma’s mouth, like colorful sawdust.","[1, 2, 2, 2, 1]",1.6,0.5477225575051661,"[False, False, False, False, False]",3682,A light sprinkle refreshed the garden.
sprinkles,bits of sweet chocolate used as a topping on e.g. ice cream,"Emma and Jake decided to enjoy a sunny afternoon at the park. They stopped by the new ice cream truck to get their favorite treats. As they looked for a shady spot to sit, they noticed it was getting a bit cloudy.","When they ate the ice cream outside, there were some sprinkles.","They ended up all around Emma’s mouth, like colorful sawdust.","[5, 4, 5, 5, 5]",4.8,0.4472135954999579,"[False, False, False, False, False]",3683,The ice cream is topped with sprinkles.
sprinkles,a light shower that falls in some locations and not others nearby,"Emma and Jake decided to enjoy a sunny afternoon at the park. They stopped by the new ice cream truck to get their favorite treats. As they looked for a shady spot to sit, they noticed it was getting a bit cloudy.","When they ate the ice cream outside, there were some sprinkles.",,"[1, 2, 4, 3, 5]",3.0,1.5811388300841898,"[False, False, False, False, False]",3684,A light sprinkle refreshed the garden.
sprinkles,bits of sweet chocolate used as a topping on e.g. ice cream,"Emma and Jake decided to enjoy a sunny afternoon at the park. They stopped by the new ice cream truck to get their favorite treats. As they looked for a shady spot to sit, they noticed it was getting a bit cloudy.","When they ate the ice cream outside, there were some sprinkles.",,"[3, 2, 3, 2, 2]",2.4,0.5477225575051661,"[False, False, False, False, False]",3685,The ice cream is topped with sprinkles.
hardest,not easy; requiring great physical or mental effort to accomplish or comprehend or endure,Jake entered the gym early in the morning. He wanted to try something different this time. There was always one corner of the gym that intrigued him.,The weightlifting equipment was the hardest in the gym.,"Over time, he hoped that practice would improve him.","[5, 5, 4, 5, 5]",4.8,0.4472135954999579,"[False, False, False, False, False]",1291,The exam was quite hard to pass.
hardest,resisting weight or pressure,Jake entered the gym early in the morning. He wanted to try something different this time. There was always one corner of the gym that intrigued him.,The weightlifting equipment was the hardest in the gym.,"Over time, he hoped that practice would improve him.","[2, 3, 2, 1, 2]",2.0,0.7071067811865476,"[False, False, False, False, False]",1292,The rock felt hard to the touch.
hardest,not easy; requiring great physical or mental effort to accomplish or comprehend or endure,Jake entered the gym early in the morning. He wanted to try something different this time. There was always one corner of the gym that intrigued him.,The weightlifting equipment was the hardest in the gym.,Jake feared that he might hurt himself if he were to drop the equipment.,"[5, 4, 5, 5, 5]",4.8,0.4472135954999579,"[False, False, False, False, False]",1293,The exam was quite hard to pass.
hardest,resisting weight or pressure,Jake entered the gym early in the morning. He wanted to try something different this time. There was always one corner of the gym that intrigued him.,The weightlifting equipment was the hardest in the gym.,Jake feared that he might hurt himself if he were to drop the equipment.,"[2, 3, 1, 2, 2]",2.0,0.7071067811865476,"[False, False, False, False, False]",1294,The rock felt hard to the touch.
hardest,not easy; requiring great physical or mental effort to accomplish or comprehend or endure,Jake entered the gym early in the morning. He wanted to try something different this time. There was always one corner of the gym that intrigued him.,The weightlifting equipment was the hardest in the gym.,,"[5, 5, 5, 5, 5]",5.0,0.0,"[False, False, False, False, False]",1295,The exam was quite hard to pass.
hardest,resisting weight or pressure,Jake entered the gym early in the morning. He wanted to try something different this time. There was always one corner of the gym that intrigued him.,The weightlifting equipment was the hardest in the gym.,,"[2, 2, 1, 2, 1]",1.6,0.5477225575051661,"[False, False, False, False, False]",1296,The rock felt hard to the touch.
target,a reference point to shoot at,"Lila stepped onto the field with steady determination. The noise around her was loud, but she tried to focus. Her training had prepared her for this moment.","Despite all the distractions, she kept her sights on her target.","She raised her sights, pinpointed the bull's-eye, and held her breath.","[5, 4, 5, 5, 5]",4.8,0.4472135954999579,"[False, False, False, False, False]",2647,The archer aimed at the distant target.
target,the goal intended to be attained (and which is believed to be attainable),"Lila stepped onto the field with steady determination. The noise around her was loud, but she tried to focus. Her training had prepared her for this moment.","Despite all the distractions, she kept her sights on her target.","She raised her sights, pinpointed the bull's-eye, and held her breath.","[4, 4, 5, 3, 5]",4.2,0.8366600265340756,"[False, False, False, False, False]",2648,Her target was to finish the project.
target,a reference point to shoot at,"Lila stepped onto the field with steady determination. The noise around her was loud, but she tried to focus. Her training had prepared her for this moment.","Despite all the distractions, she kept her sights on her target.",She had always wanted to spot the wild bird that was virtually extinct.,"[2, 4, 5, 3, 4]",3.6,1.140175425099138,"[False, False, False, False, False]",2649,The archer aimed at the distant target.
target,the goal intended to be attained (and which is believed to be attainable),"Lila stepped onto the field with steady determination. The noise around her was loud, but she tried to focus. Her training had prepared her for this moment.","Despite all the distractions, she kept her sights on her target.",She had always wanted to spot the wild bird that was virtually extinct.,"[5, 3, 4, 4, 5]",4.2,0.8366600265340756,"[False, False, False, False, False]",2650,Her target was to finish the project.
target,a reference point to shoot at,"Lila stepped onto the field with steady determination. The noise around her was loud, but she tried to focus. Her training had prepared her for this moment.","Despite all the distractions, she kept her sights on her target.",,"[3, 5, 5, 5, 4]",4.4,0.8944271909999159,"[False, False, False, False, False]",2651,The archer aimed at the distant target.
target,the goal intended to be attained (and which is believed to be attainable),"Lila stepped onto the field with steady determination. The noise around her was loud, but she tried to focus. Her training had prepared her for this moment.","Despite all the distractions, she kept her sights on her target.",,"[3, 1, 3, 3, 4]",2.8,1.0954451150103321,"[False, False, False, False, False]",2652,Her target was to finish the project.
evolved,work out,"Lena had been working on the project for months, trying different approaches. Each attempt seemed promising at first, but something always felt lacking. Finally, an unexpected solution came to her one evening.",It evolved into something much better.,She now has a better idea of what to do for her project.,"[4, 4, 5, 5, 4]",4.4,0.5477225575051661,"[False, False, False, False, False]",3307,Scientists continue to evolve their theories.
evolved,undergo development or evolution,"Lena had been working on the project for months, trying different approaches. Each attempt seemed promising at first, but something always felt lacking. Finally, an unexpected solution came to her one evening.",It evolved into something much better.,She now has a better idea of what to do for her project.,"[5, 5, 5, 5, 5]",5.0,0.0,"[False, False, False, False, False]",3308,Species evolve over millions of years.
evolved,work out,"Lena had been working on the project for months, trying different approaches. Each attempt seemed promising at first, but something always felt lacking. Finally, an unexpected solution came to her one evening.",It evolved into something much better.,"What began as a rough idea gradually took shape, gaining depth and clarity with each passing day.","[5, 5, 5, 5, 5]",5.0,0.0,"[False, False, False, False, False]",3309,Scientists continue to evolve their theories.
evolved,undergo development or evolution,"Lena had been working on the project for months, trying different approaches. Each attempt seemed promising at first, but something always felt lacking. Finally, an unexpected solution came to her one evening.",It evolved into something much better.,"What began as a rough idea gradually took shape, gaining depth and clarity with each passing day.","[5, 5, 1, 5, 5]",4.2,1.7888543819998317,"[False, False, False, False, False]",3310,Species evolve over millions of years.
evolved,work out,"Lena had been working on the project for months, trying different approaches. Each attempt seemed promising at first, but something always felt lacking. Finally, an unexpected solution came to her one evening.",It evolved into something much better.,,"[4, 5, 5, 3, 5]",4.4,0.8944271909999159,"[False, False, False, False, False]",3311,Scientists continue to evolve their theories.
evolved,undergo development or evolution,"Lena had been working on the project for months, trying different approaches. Each attempt seemed promising at first, but something always felt lacking. Finally, an unexpected solution came to her one evening.",It evolved into something much better.,,"[5, 5, 5, 5, 5]",5.0,0.0,"[False, False, False, False, False]",3312,Species evolve over millions of years.
problems,a question raised for consideration or solution,The company had just finished a major project. The report highlighted several issues. The team needed to tackle these findings.,"After reviewing the report, the team spent hours discussing the problems that needed attention.",They finally came to a workable solution in the late afternoon.,"[5, 5, 5, 5, 4]",4.8,0.4472135954999579,"[False, False, False, False, False]",775,She encountered a difficult math problem.
problems,a source of difficulty,The company had just finished a major project. The report highlighted several issues. The team needed to tackle these findings.,"After reviewing the report, the team spent hours discussing the problems that needed attention.",They finally came to a workable solution in the late afternoon.,"[5, 5, 5, 5, 5]",5.0,0.0,"[False, False, False, False, False]",776,The project faced numerous problems each week.
problems,a question raised for consideration or solution,The company had just finished a major project. The report highlighted several issues. The team needed to tackle these findings.,"After reviewing the report, the team spent hours discussing the problems that needed attention.",The report needed to address these issues comprehensively.,"[5, 5, 5, 5, 4]",4.8,0.4472135954999579,"[False, False, False, False, False]",777,She encountered a difficult math problem.
problems,a source of difficulty,The company had just finished a major project. The report highlighted several issues. The team needed to tackle these findings.,"After reviewing the report, the team spent hours discussing the problems that needed attention.",The report needed to address these issues comprehensively.,"[5, 5, 5, 5, 4]",4.8,0.4472135954999579,"[False, False, False, False, False]",778,The project faced numerous problems each week.
problems,a question raised for consideration or solution,The company had just finished a major project. The report highlighted several issues. The team needed to tackle these findings.,"After reviewing the report, the team spent hours discussing the problems that needed attention.",,"[4, 5, 3, 3, 5]",4.0,1.0,"[False, False, False, False, False]",779,She encountered a difficult math problem.
problems,a source of difficulty,The company had just finished a major project. The report highlighted several issues. The team needed to tackle these findings.,"After reviewing the report, the team spent hours discussing the problems that needed attention.",,"[5, 5, 5, 5, 4]",4.8,0.4472135954999579,"[False, False, False, False, False]",780,The project faced numerous problems each week.
problem,a question raised for consideration or solution,"Lily sat at her desk, surrounded by stacks of paper. Every day brought a new set of challenges. She felt overwhelmed as the deadline loomed closer.","No matter how hard she tried, she couldn't handle the problem she was facing.","As she looked at the papers piled around her, she understood that each challenge was like a puzzle that needed careful thought and a fresh perspective to solve.","[4, 3, 2, 3, 5]",3.4,1.140175425099138,"[False, False, False, False, False]",1069,She encountered a difficult math problem.
problem,a state of difficulty that needs to be resolved,"Lily sat at her desk, surrounded by stacks of paper. Every day brought a new set of challenges. She felt overwhelmed as the deadline loomed closer.","No matter how hard she tried, she couldn't handle the problem she was facing.","As she looked at the papers piled around her, she understood that each challenge was like a puzzle that needed careful thought and a fresh perspective to solve.","[5, 5, 4, 5, 5]",4.8,0.4472135954999579,"[False, False, False, False, False]",1070,They faced a serious financial problem.
problem,a question raised for consideration or solution,"Lily sat at her desk, surrounded by stacks of paper. Every day brought a new set of challenges. She felt overwhelmed as the deadline loomed closer.","No matter how hard she tried, she couldn't handle the problem she was facing.",She needed a solution in the next few minutes.,"[5, 5, 5, 3, 5]",4.6,0.8944271909999159,"[False, False, False, False, False]",1071,She encountered a difficult math problem.
problem,a state of difficulty that needs to be resolved,"Lily sat at her desk, surrounded by stacks of paper. Every day brought a new set of challenges. She felt overwhelmed as the deadline loomed closer.","No matter how hard she tried, she couldn't handle the problem she was facing.",She needed a solution in the next few minutes.,"[5, 5, 4, 5, 4]",4.6,0.5477225575051661,"[False, False, False, False, False]",1072,They faced a serious financial problem.
problem,a question raised for consideration or solution,"Lily sat at her desk, surrounded by stacks of paper. Every day brought a new set of challenges. She felt overwhelmed as the deadline loomed closer.","No matter how hard she tried, she couldn't handle the problem she was facing.",,"[4, 4, 3, 4, 4]",3.8,0.4472135954999579,"[False, False, False, False, False]",1073,She encountered a difficult math problem.
problem,a state of difficulty that needs to be resolved,"Lily sat at her desk, surrounded by stacks of paper. Every day brought a new set of challenges. She felt overwhelmed as the deadline loomed closer.","No matter how hard she tried, she couldn't handle the problem she was facing.",,"[5, 4, 5, 5, 5]",4.8,0.4472135954999579,"[False, False, False, False, False]",1074,They faced a serious financial problem.
problem,a question raised for consideration or solution,"The team gathered in the small conference room to discuss their latest project. They had been working on it for months, hoping to make a breakthrough. Despite their efforts, progress had suddenly come to a halt.",They faced a serious problem that needed resolving.,They needed to recalculate the costs of starting this project.,"[5, 5, 3, 5, 5]",4.6,0.8944271909999159,"[False, False, False, False, False]",1765,She encountered a difficult math problem.
problem,a state of difficulty that needs to be resolved,"The team gathered in the small conference room to discuss their latest project. They had been working on it for months, hoping to make a breakthrough. Despite their efforts, progress had suddenly come to a halt.",They faced a serious problem that needed resolving.,They needed to recalculate the costs of starting this project.,"[5, 5, 5, 5, 5]",5.0,0.0,"[False, False, False, False, False]",1766,They faced a serious financial problem.
